Mã SKU,Tên Sản Phẩm,Đơn Vị Tính,Giá Bán Hiện Tại,Giá Gốc
250101297,Chuối Co.op Select L1 kg,Kg,35900,35900
250101312,Bưởi 5 roi Co.op Select kg,Kg,32900,32900
250101315,Bưởi da xanh Co.op Select kg,Kg,47900,47900
250102350,Bưởi da xanh Co.op Select trái – RPL,Trái,44500,51900
250102438,Cam sành Co.op Select kg – RPL,Kg,21900,21900
250102440,Dưa lưới TL3 ruột cam Co.op Select – VF kg,Kg,44900,44900
250102742,Táo Organic juliet Pháp túi 1kg,Túi,139000,139000
250104361,Táo Envy Mỹ – 1 kg,Kg,176000,176000
250105933,Thanh Long ruột đỏ – kg,Kg,24900,24900
250106160,Ổi Đài Loan kg,Kg,9900,9900
250106172,Táo bi đỏ kg,Kg,102000,102000
250106336,Chuối sứ – kg,Kg,19900,19900
250106433,Bưởi 5 roi – Loại 2 kg,Kg,42900,42900
250106475,Xoài keo kg,Kg,17900,17900
250106496,Dưa hấu không hạt L1 – kg,Kg,16900,16900
250106514,Táo Ambrosia Mỹ kg,Kg,94900,94900
250106520,Trái đu đủ vàng loại 1 – kg,Kg,15900,15900
250106736,Lê đỏ vàng Nam Phi,Kg,89000,89000
250107268,Xoài cát Hòa Lộc L1 – kg,Kg,57500,57500
250107591,Táo Rockit New ống 4 trái,Ống,169000,169000
250107737,Mận đỏ giống Thái kg,Kg,39900,39900
250107785,Ổi Nữ Hoàng – kg,Kg,29900,29900
250107954,Quýt đường loại 2 – kg,Kg,52500,52500
250108039,Thanh Long loại 1 – kg,Kg,21900,21900
250108047,Dưa gang kg,Kg,14900,14900
250108055,Táo Fuji Nam Phi kg,Kg,73900,73900
250108350,Kiwi vàng NewZealand hộp 4 trái,Hộp,171000,171000
250108417,Bưởi da xanh L1 kg,Kg,52900,52900
250108520,Xoài Tứ Quý kg,Kg,42900,42900
250108525,Thơm – khóm trái còn vỏ kg,Trái,18900,18900
250108531,Táo hồng Phan Rang kg,Kg,49900,49900
250108537,Thanh long kg,Kg,17500,17500
250108677,Xoài keo vàng kg,Kg,19900,19900
250108784,Xoài cát chu da vàng – kg,Kg,39000,39000
250108790,Dưa lê kg,Kg,33500,33500
250108796,Dừa xiêm trái,Trái,20500,20500
250108801,Xoài giống Đài Loan L1 kg,Kg,12900,12900
250108846,Mận sữa đóng vĩ kg,Kg,35900,35900
250108913,Táo Fuji nhỏ Nam Phi kg,Kg,68900,68900
250108964,Kiwi vàng NewZealand hộp 2 trái,Hộp,91900,91900
